industry,organization_size,cloud_environment,endpoint_protection_type,region,data_sensitivity_level,employee_count,annual_revenue_inr,exposed_assets,internet_facing_assets,critical_vulnerabilities,high_vulnerabilities,average_patch_delay_days,mfa_coverage_percent,edr_coverage_percent,backup_success_rate_percent,immutable_backup_enabled,network_segmentation_score,phishing_failure_rate_percent,security_awareness_training_score,mean_time_to_detect_hours,mean_time_to_respond_hours,previous_security_incidents,third_party_vendor_risk_score,cloud_security_posture_score,privileged_accounts_count,encryption_coverage_percent,security_budget_inr,ransomware_incident,phishing_incident,data_breach_incident,ddos_incident,ransomware_impact_inr,phishing_impact_inr,data_breach_impact_inr,ddos_impact_inr
Healthcare,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,Moderate (Internal Confidential),204,666453693.53,1037,69,5,9,24.7,68.8,67.5,70.3,0,0.82,24.8,0.8,6.7,61.8,0,0.7,0.32,206,78.0,14903510.97,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,APAC,Moderate (Internal Confidential),160,377065112.13,1060,77,6,10,17.0,83.4,78.9,62.5,1,0.3,16.6,0.55,5.6,11.3,2,0.45,0.85,218,90.4,14425292.96,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),On-Premises Legacy,Legacy Antivirus,India (BFSI Regulated),Critical (Cardholder / UPI Core),596,1098694189.45,1255,407,4,13,39.4,63.3,53.3,82.2,0,0.47,7.6,0.94,28.7,54.0,0,0.55,0.81,57,94.0,28152796.75,0,0,0,1,0.0,0.0,0.0,5310679.55
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),242,840148713.85,145,11,4,11,36.3,80.0,47.0,77.6,1,0.21,31.7,0.44,35.3,11.0,0,0.73,0.7,91,54.4,33301309.8,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),GCP Native,SentinelOne,North America,Critical (Cardholder / UPI Core),206,381773421.92,149,29,4,15,22.7,92.5,77.7,64.9,0,0.75,11.1,0.77,16.5,138.1,2,0.54,0.62,40,89.6,9449012.02,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),8023,21142527651.49,233,60,3,9,42.7,66.9,48.5,94.0,1,0.28,14.2,0.76,19.2,146.5,0,0.28,0.36,238,76.4,358021213.0,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),AWS Multi-Account,SentinelOne,North America,Critical (Cardholder / UPI Core),569,1501348012.07,1172,357,4,13,53.5,72.7,53.3,79.6,0,0.49,9.7,0.66,17.3,23.0,0,0.83,0.74,11,80.0,38395780.61,0,0,1,1,0.0,0.0,24039747.07,5680746.78
SaaS & Cloud Provider,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),8035,18043612160.43,989,100,4,14,34.5,80.0,98.0,77.9,0,0.88,15.5,0.68,26.8,13.7,2,0.74,0.3,182,68.9,583711512.18,0,0,1,0,0.0,0.0,481290291.63,0.0
E-Commerce & Retail,Small (50-250),GCP Native,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),2077,7067983613.45,1100,199,5,16,84.8,69.2,46.2,76.5,1,0.3,22.6,0.85,2.5,52.6,3,0.22,0.53,10,53.6,220374121.51,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,India (BFSI Regulated),High (PII + Financial KYC),533,1699070283.53,617,77,3,13,50.4,49.6,79.7,89.1,0,0.44,9.6,0.82,51.1,55.1,0,0.27,0.64,151,96.3,68844204.22,0,0,0,0,0.0,0.0,0.0,0.0
